PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SDG;MA0000040156;26/04/2024;931.67;931.67;FCP ATTIJARI AL MOUCHARAKA
SDG;MA0000041477;26/04/2024;928.99;928.99;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000036063;26/04/2024;660.65;660.65;FCP ATTIJARI ACTIONS
SDG;MA0000030553;26/04/2024;5395.77;5395.77;SICAV ATTIJARI TRESORERIE
SDG;MA0000040388;26/04/2024;164.01;164.01;FCP WG OBLIGATIONS
SDG;MA0000036659;26/04/2024;1514.58;1514.58;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036063;16/05/2024;661.41;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000036659;16/05/2024;1516.52;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036659;24/05/2024;1517.53;;FCP ATTIJARI LIQUIDITE
SDG;MA0000040271;10/05/2024;201042.23;201042.23;FCP CAP MONETAIRE PREMIERE
SDG;MA0000040388;10/05/2024;164.32;164.32;FCP WG OBLIGATIONS
SDG;MA0000030553;10/05/2024;5402.64;5402.64;SICAV ATTIJARI TRESORERIE
SDG;MA0000030645;10/05/2024;89.4;89.4;SICAV ATTIJARI PATRIMOINE VALEURS
SDG;MA0000040156;10/05/2024;939.46;939.46;FCP ATTIJARI AL MOUCHARAKA
SDG;MA0000030520;10/05/2024;599.54;599.54;SICAV ATTIJARI DIVERSIFIE
SDG;MA0000036659;10/05/2024;1516.0;1516.0;FCP ATTIJARI LIQUIDITE
SDG;MA0000041477;10/05/2024;940.2;940.2;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000040180;10/05/2024;197.34;197.34;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000030553;28/03/2024;5384.15;;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000036048;28/03/2024;217.72;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;28/03/2024;654.65;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000040180;08/04/2024;196.75;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;08/04/2024;200458.92;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;08/04/2024;229.18;;FCP ATTIJARI MONETAIRE JOUR
