PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_
SIXTELEKURS;MA0000040271;13/01/2017;170084.35;
SIXTELEKURS;MA0000040271;16/01/2017;170132.55;
SIXTELEKURS;MA0000040271;17/01/2017;170140.44;
SIXTELEKURS;MA0000040271;18/01/2017;170150.55;
SIXTELEKURS;MA0000040271;19/01/2017;170161;
SIXTELEKURS;MA0000040271;20/01/2017;170171.57;
SIXTELEKURS;MA0000040271;23/01/2017;170207.7;
SIXTELEKURS;MA0000040271;24/01/2017;170215.09;
SIXTELEKURS;MA0000040271;25/01/2017;170230.5;
SIXTELEKURS;MA0000040271;26/01/2017;170241.64;
SIXTELEKURS;MA0000040271;27/01/2017;170241.17;
SIXTELEKURS;MA0000040271;30/01/2017;170281.32;
SIXTELEKURS;MA0000040271;31/01/2017;170298.41;
SIXTELEKURS;MA0000040271;01/02/2017;170294.45;
SIXTELEKURS;MA0000040271;02/02/2017;170308.66;
SIXTELEKURS;MA0000040271;03/02/2017;170319.16;
SIXTELEKURS;MA0000040271;06/02/2017;170351.7;
SIXTELEKURS;MA0000040271;07/02/2017;170364.94;
SIXTELEKURS;MA0000040271;08/02/2017;170384.09;
SIXTELEKURS;MA0000040271;09/02/2017;170399.37;
SIXTELEKURS;MA0000040271;10/02/2017;170412.97;
SIXTELEKURS;MA0000040271;13/02/2017;170448.1;
SIXTELEKURS;MA0000040271;14/02/2017;170461.26;
SIXTELEKURS;MA0000040271;15/02/2017;170469.99;
SIXTELEKURS;MA0000040271;16/02/2017;170484.4;
SIXTELEKURS;MA0000040271;17/02/2017;170498.65;
SIXTELEKURS;MA0000040271;20/02/2017;170539.53;
SIXTELEKURS;MA0000040271;21/02/2017;170556.31;
SIXTELEKURS;MA0000040271;22/02/2017;170570.62;
SIXTELEKURS;MA0000040271;23/02/2017;170580.96;
SIXTELEKURS;MA0000040271;24/02/2017;170593.88;
SIXTELEKURS;MA0000040271;27/02/2017;170628.07;
SIXTELEKURS;MA0000040339;20/12/2016;205.5;
SIXTELEKURS;MA0000040339;21/12/2016;205.51;
